book_id,title,author,categories
0,Exclusive tertiary orchestration,3,14
1,Mandatory regional interface,0,6
2,Grass-roots next generation software,5,12
3,Stand-alone systematic parallelism,9,14
4,Right-sized methodical knowledge user,6,14
5,Digitized intangible database,3,10
6,Synergized motivating standardization,9,5
7,Distributed explicit alliance,6,12
8,Customizable impactful array,2,7
9,Operative grid-enabled circuit,4,3
10,Customer-focused optimizing benchmark,2,5
11,Mandatory client-server architecture,2,10
12,Diverse intermediate parallelism,7,2
13,Managed interactive knowledge user,8,2
14,Public-key empowering alliance,8,8
15,Multi-channeled national database,8,14
16,Phased global adapter,8,3
17,Advanced next generation functionalities,9,1
18,Mandatory next generation product,1,0
19,Persevering content-based collaboration,7,4
20,Open-architected non-volatile knowledge user,0,4
21,Self-enabling systemic middleware,5,11
22,Cross-platform logistical productivity,2,13
23,Advanced local hub,9,2
24,Customizable client-server algorithm,3,5
25,Switchable bifurcated emulation,6,12
26,Secured tertiary info-mediaries,5,1
27,Pre-emptive asymmetric application,1,11
28,Multi-channeled systematic neural-net,1,9
29,Right-sized context-sensitive policy,6,5
30,Synergistic exuding productivity,6,0
31,Exclusive interactive archive,2,3
32,Self-enabling 5thgeneration parallelism,0,5
33,Assimilated 24/7 customer loyalty,9,1
34,Organized 3rdgeneration analyzer,4,7
35,Face-to-face responsive adapter,4,14
36,Proactive asymmetric workforce,8,12
37,Re-engineered cohesive groupware,5,2
38,Operative solution-oriented throughput,5,1
39,Programmable mission-critical architecture,9,14
40,Virtual web-enabled approach,1,14
41,Exclusive leadingedge moratorium,3,0
42,Multi-lateral full-range orchestration,8,7
43,Phased demand-driven ability,9,8
44,Public-key composite concept,8,4
45,Ergonomic reciprocal strategy,0,5
46,Seamless 5thgeneration open architecture,9,12
47,Re-contextualized neutral hub,5,0
48,Advanced object-oriented capacity,3,13
49,Configurable high-level hierarchy,8,1
50,Persevering attitude-oriented matrices,9,7
51,Visionary 6thgeneration software,8,7
52,Versatile client-driven protocol,9,11
53,Centralized systematic hierarchy,0,8
54,Progressive 5thgeneration instruction set,2,3
55,Open-architected methodical implementation,7,2
56,Distributed coherent firmware,2,13
57,Ergonomic secondary database,3,3
58,Vision-oriented asymmetric groupware,8,2
59,Advanced human-resource product,9,8
60,Total value-added analyzer,0,5
61,User-centric mobile projection,0,5
62,Secured modular process improvement,6,6
63,Fully-configurable exuding installation,2,5
64,Cross-group asymmetric portal,8,0
65,Networked eco-centric Local Area Network,1,2
66,Robust logistical focus group,3,11
67,Horizontal analyzing model,5,10
68,Down-sized multimedia capacity,8,13
69,Upgradable multimedia approach,1,9
70,Focused zero tolerance collaboration,8,12
71,Reactive encompassing frame,8,3
72,Devolved attitude-oriented projection,0,10
73,Devolved actuating utilization,3,8
74,Multi-lateral web-enabled implementation,6,9
75,Front-line real-time project,9,0
76,Secured logistical frame,8,5
77,Total attitude-oriented extranet,4,0
78,Decentralized national utilization,0,7
79,Future-proofed uniform firmware,2,12
80,Versatile uniform open architecture,2,5
81,Re-contextualized explicit middleware,5,2
82,Down-sized holistic attitude,2,14
83,Seamless next generation knowledgebase,7,8
84,Phased local info-mediaries,7,13
85,Synchronized fault-tolerant secured line,4,4
86,Stand-alone 24hour moderator,8,5
87,Programmable maximized Graphical User Interface,7,13
88,Enhanced multi-state customer loyalty,2,11
89,Pre-emptive contextually-based task-force,7,13
90,Robust impactful infrastructure,9,9
91,Ergonomic dedicated intranet,6,9
92,Phased tertiary workforce,3,3
93,Self-enabling zero tolerance Graphic Interface,8,4
94,Open-source dynamic circuit,3,7
95,De-engineered transitional complexity,7,4
96,Synergistic attitude-oriented website,4,9
97,Extended discrete task-force,2,10
98,Face-to-face responsive info-mediaries,9,12
99,Exclusive eco-centric task-force,1,0
100,Quality-focused 3rdgeneration moderator,9,1
101,Function-based 24hour hierarchy,3,10
102,Up-sized background task-force,6,14
103,Customizable optimizing hardware,6,12
104,Function-based explicit Graphical User Interface,6,8
105,Multi-channeled attitude-oriented attitude,4,14
106,Sharable intangible initiative,4,5
107,Vision-oriented zero administration initiative,7,0
108,Enterprise-wide homogeneous open system,0,8
109,Synchronized holistic workforce,8,6
110,Distributed bottom-line customer loyalty,1,12
111,Robust actuating initiative,6,5
112,Monitored neutral infrastructure,3,12
113,Pre-emptive full-range neural-net,8,6
114,Persevering web-enabled Local Area Network,3,10
115,Triple-buffered mission-critical implementation,4,6
116,Robust value-added help-desk,1,2
117,Triple-buffered regional framework,0,0
118,Fundamental full-range Graphic Interface,2,3
119,Multi-lateral fault-tolerant interface,1,11
120,Diverse eco-centric structure,3,1
121,Enterprise-wide zero administration knowledgebase,7,6
122,Streamlined disintermediate projection,3,13
123,User-friendly directional matrices,4,5
124,Optimized encompassing matrix,0,2
125,Open-source 6thgeneration workforce,9,2
126,Optional value-added orchestration,1,6
127,Fully-configurable hybrid core,0,1
128,Up-sized value-added product,2,11
129,Optimized next generation Local Area Network,9,4
130,De-engineered mission-critical infrastructure,5,9
131,Visionary reciprocal model,2,0
132,Advanced logistical policy,4,13
133,Inverse systematic encryption,3,10
134,Self-enabling zero tolerance architecture,6,0
135,Triple-buffered well-modulated emulation,6,6
136,Extended tertiary database,4,13
137,Fundamental contextually-based orchestration,0,3
138,Synergistic stable service-desk,7,2
139,Automated logistical portal,2,3
140,Digitized tangible system engine,4,10
141,Proactive needs-based approach,5,0
142,Persistent exuding architecture,0,4
143,Re-engineered multi-state Internet solution,4,9
144,Quality-focused 24hour toolset,3,1
145,Future-proofed regional knowledgebase,9,9
146,Distributed even-keeled system engine,0,3
147,Exclusive high-level analyzer,3,5
148,Synchronized fresh-thinking adapter,3,3
149,User-friendly intangible artificial intelligence,9,4
150,Open-source intermediate alliance,2,10
151,Vision-oriented uniform intranet,4,13
