hold_id,user_id,library_id,book_id,hold_date,queue
0,4,2,154,2021-11-04,3
1,13,2,154,2023-11-11,1
2,4,2,154,2023-01-29,1
3,3,2,154,2023-08-06,2
4,13,2,154,2022-05-21,3
5,13,2,154,2023-11-23,3
6,12,2,154,2023-01-20,2
7,12,2,154,2021-10-20,3
8,13,2,154,2022-08-06,0
9,13,2,154,2024-04-15,1
10,3,2,154,2023-10-19,2
11,3,2,154,2023-01-14,3
12,24,2,154,2023-03-29,2
13,12,2,154,2022-03-12,0
14,13,2,154,2021-06-03,2
15,4,2,154,2023-07-08,0
16,4,2,154,2022-10-25,0
17,24,2,154,2022-07-11,3
18,12,2,154,2022-08-04,1
19,3,2,154,2023-12-14,3
20,3,2,154,2022-08-31,1
21,12,2,154,2024-02-02,1
22,13,2,154,2022-03-25,0
23,12,2,154,2021-10-14,0
24,4,2,154,2023-06-10,3
25,3,2,154,2022-02-27,3
26,3,2,154,2022-01-10,1
27,4,2,154,2023-07-03,3
28,4,2,154,2023-12-14,2
29,13,2,154,2021-12-23,1
30,24,2,154,2024-05-08,0
31,24,2,154,2022-07-30,0
32,13,2,154,2023-11-20,1
33,24,2,154,2023-03-11,1
34,24,2,154,2023-03-27,3
35,12,2,154,2023-02-03,2
36,3,2,154,2023-07-24,2
37,13,2,154,2022-01-16,1
38,12,2,154,2023-11-12,0
39,13,2,154,2021-12-03,2
40,13,2,154,2022-01-08,0
41,13,2,154,2023-05-18,1
42,4,2,154,2021-11-23,0
43,3,2,154,2021-12-25,3
44,4,2,154,2023-07-31,2
45,13,2,154,2022-11-09,2
46,13,2,154,2024-04-27,1
47,4,2,154,2023-05-12,0
48,4,2,154,2023-12-16,2
49,12,2,154,2023-05-17,3
50,13,2,154,2023-08-22,3
51,3,2,154,2023-11-23,1
52,3,2,154,2021-06-18,0
53,24,2,154,2022-10-09,3
54,24,2,154,2022-07-27,1
55,12,2,154,2022-05-25,0
56,13,2,154,2022-01-22,0
57,4,2,154,2022-06-23,2
58,4,2,154,2023-10-08,3
59,13,2,154,2024-01-02,3
60,24,2,154,2023-10-17,2
61,24,2,154,2023-08-06,0
62,12,2,154,2023-06-03,3
63,4,2,154,2022-06-30,0
64,24,2,154,2021-10-24,0
65,13,2,154,2023-09-08,3
66,3,2,154,2022-06-03,3
67,24,2,154,2021-10-24,0
68,13,2,154,2022-12-05,3
69,4,2,154,2024-03-29,2
70,12,2,154,2021-11-29,3
71,12,2,154,2023-12-04,0
72,24,2,154,2024-02-24,3
73,12,2,154,2023-01-05,0
74,24,2,154,2022-12-29,3
75,12,2,154,2023-06-09,3
76,4,2,154,2022-02-08,3
77,3,2,154,2021-08-20,3
78,13,2,154,2021-08-19,0
79,24,2,154,2023-11-08,2
80,24,2,154,2023-04-01,3
81,4,2,154,2022-10-24,3
82,12,2,154,2022-09-10,3
83,4,2,154,2022-09-18,0
84,12,2,154,2023-04-08,0
85,24,2,154,2022-11-21,1
86,24,2,154,2021-10-28,0
87,3,2,154,2022-05-15,1
88,3,2,154,2022-05-26,2
89,13,2,154,2021-07-27,0
90,4,2,154,2022-10-29,1
91,4,2,154,2022-10-10,3
92,3,2,154,2021-08-07,0
93,4,2,154,2023-02-07,2
94,12,2,154,2021-12-31,0
95,12,2,154,2023-05-07,3
96,3,2,154,2021-06-16,0
97,24,2,154,2022-12-11,2
98,4,2,154,2022-11-23,2
99,4,2,154,2021-12-25,2
