loan_id,user_id,library_id,book_id,loan_date,due_date,return_date
0,11,4,122,2021-06-28,2021-07-12,2021-07-10
1,2,2,161,2023-02-07,2023-02-21,2023-02-15
2,6,1,142,2022-08-06,2022-08-20,2022-08-20
3,10,0,24,2022-10-07,2022-10-21,2022-10-17
4,1,4,181,2022-10-25,2022-11-08,2022-11-06
5,3,3,13,2023-06-14,2023-06-28,2023-06-27
6,0,1,97,2023-07-02,2023-07-16,2023-07-12
7,17,3,177,2023-02-14,2023-02-28,2023-02-28
8,2,4,160,2021-10-26,2021-11-09,2021-10-31
9,18,4,176,2021-10-13,2021-10-27,2021-10-19
10,16,2,12,2022-12-14,2022-12-28,2022-12-28
11,1,1,119,2024-02-02,2024-02-16,2024-02-15
12,3,1,71,2023-05-26,2023-06-09,2023-06-01
13,4,0,177,2023-06-05,2023-06-19,2023-06-13
14,26,3,127,2023-07-03,2023-07-17,2023-07-11
15,22,4,141,2024-01-24,2024-02-07,2024-02-01
16,19,2,86,2022-06-18,2022-07-02,2022-07-02
17,0,3,175,2022-01-26,2022-02-09,2022-02-02
18,9,1,62,2021-11-09,2021-11-23,2021-11-17
19,6,2,150,2021-10-02,2021-10-16,2021-10-08
20,3,2,140,2022-05-31,2022-06-14,2022-06-08
21,7,4,193,2021-08-30,2021-09-13,2021-09-10
22,1,4,118,2022-06-09,2022-06-23,2022-06-22
23,5,0,113,2022-07-14,2022-07-28,2022-07-28
24,6,2,7,2024-02-21,2024-03-06,2024-02-26
25,23,2,131,2022-03-07,2022-03-21,2022-03-13
26,11,0,181,2022-04-25,2022-05-09,2022-05-04
27,23,3,127,2022-01-13,2022-01-27,2022-01-18
28,7,4,5,2023-02-05,2023-02-19,2023-02-13
29,2,2,194,2022-05-24,2022-06-07,2022-05-29
30,2,0,94,2023-07-18,2023-08-01,2023-07-30
31,27,3,127,2022-08-03,2022-08-17,2022-08-17
32,13,1,17,2022-04-15,2022-04-29,2022-04-27
33,29,3,19,2024-02-29,2024-03-14,2024-03-13
34,22,2,117,2021-07-16,2021-07-30,2021-07-29
35,15,4,146,2021-11-15,2021-11-29,2021-11-23
36,9,4,88,2022-10-30,2022-11-13,2022-11-09
37,3,1,144,2023-12-03,2023-12-17,2023-12-13
38,27,2,111,2023-04-08,2023-04-22,2023-04-20
39,23,4,132,2022-11-06,2022-11-20,2022-11-13
40,2,0,35,2022-09-22,2022-10-06,2022-10-02
41,13,0,176,2023-06-06,2023-06-20,2023-06-14
42,16,1,114,2024-02-02,2024-02-16,2024-02-10
43,0,1,17,2023-04-21,2023-05-05,2023-04-30
44,10,3,115,2021-05-30,2021-06-13,2021-06-10
45,17,3,115,2021-05-22,2021-06-05,2021-06-05
46,22,3,71,2022-04-04,2022-04-18,2022-04-13
47,6,2,62,2023-01-01,2023-01-15,2023-01-14
48,4,0,194,2022-10-11,2022-10-25,2022-10-25
49,9,1,122,2022-10-23,2022-11-06,2022-11-02
